"ID","GAME_DATE","GAME_TIME","STADIUM","REMARKS","BOARDSE","AWAY_TEAM","AWAY_TEAM_SCORE","HOME_TEAM","HOME_TEAM_SCORE","VICTORY_TEAM","YEAR","MONTH","RECORD_TYPE","HIGHLIGHT_URL","HIGHLIGHT_THUMB"
2912,28/05/23,"14:00","고척","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230528&gameId=20230528LTWO0&section=HIGHLIGHT","롯데",5,"키움",7,"키움",2023,5,"경기일정","https://tv.naver.com/embed/36398541?autoPlay=true",""
2913,30/05/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230530&gameId=20230530WOHH0&section=HIGHLIGHT","키움",1,"한화",7,"한화",2023,5,"경기일정","https://tv.naver.com/embed/36471177?autoPlay=true",""
2918,31/05/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230531&gameId=20230531WOHH0&section=HIGHLIGHT","키움",15,"한화",3,"키움",2023,5,"경기일정","https://tv.naver.com/embed/36513864?autoPlay=true",""
2920,31/05/23,"18:30","문학","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230531&gameId=20230531SSSK0&section=HIGHLIGHT","삼성",3,"SSG",2,"삼성",2023,5,"경기일정","https://tv.naver.com/embed/36514250?autoPlay=true",""
2923,01/06/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230601&gameId=20230601WOHH0&section=HIGHLIGHT","키움",3,"한화",7,"한화",2023,6,"경기일정","https://tv.naver.com/embed/36554771?autoPlay=true",""
2926,01/06/23,"18:30","창원","우천취소","","두산",,"NC",,"",2023,6,"경기일정","",""
2927,01/06/23,"18:30","광주","그라운드사정","","KT",,"KIA",,"",2023,6,"경기일정","",""
2928,02/06/23,"18:30","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230602&gameId=20230602SSHH0&section=HIGHLIGHT","삼성",8,"한화",7,"삼성",2023,6,"경기일정","https://tv.naver.com/embed/36597588?autoPlay=true",""
2930,02/06/23,"18:30","문학","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230602&gameId=20230602WOSK0&section=HIGHLIGHT","키움",2,"SSG",3,"SSG",2023,6,"경기일정","https://tv.naver.com/embed/36596569?autoPlay=true",""
2932,02/06/23,"18:30","수원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230602&gameId=20230602OBKT0&section=HIGHLIGHT","두산",10,"KT",1,"두산",2023,6,"경기일정","https://tv.naver.com/embed/36595328?autoPlay=true",""
2936,03/06/23,"17:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230603&gameId=20230603HTLT0&section=HIGHLIGHT","KIA",5,"롯데",6,"롯데",2023,6,"경기일정","https://tv.naver.com/embed/36617607?autoPlay=true",""
2938,04/06/23,"14:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230604&gameId=20230604HTLT0&section=HIGHLIGHT","KIA",6,"롯데",0,"KIA",2023,6,"경기일정","https://tv.naver.com/embed/36633448?autoPlay=true",""
2940,04/06/23,"17:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20230604&gameId=20230604NCLG0&section=HIGHLIGHT","NC",3,"LG",1,"NC",2023,6,"경기일정","https://tv.naver.com/embed/36637591?autoPlay=true",""
