away_team_score,game_date,home_team_score,month,year,game_time,id,away_team,boardse,highlight_thumb,highlight_url,home_team,record_type,remarks,stadium,victory_team
12.0,2020-05-10,13.0,5,2020,14:00,76,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200510&gameId=20200510KTOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,두산
0.0,2020-05-10,4.0,5,2020,14:00,77,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200510&gameId=20200510SKLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,롯데
12.0,2020-05-10,3.0,5,2020,14:00,78,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200510&gameId=20200510HTSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,KIA
10.0,2020-05-10,8.0,5,2020,14:00,79,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200510&gameId=20200510LGNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,LG
3.0,2020-05-10,6.0,5,2020,14:00,80,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200510&gameId=20200510HHWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,키움
5.0,2020-05-12,9.0,5,2020,18:30,82,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200512&gameId=20200512SKLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
11.0,2020-05-12,6.0,5,2020,18:30,83,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200512&gameId=20200512OBLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,두산
6.0,2020-05-12,7.0,5,2020,18:30,84,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200512&gameId=20200512KTNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
2.0,2020-05-12,3.0,5,2020,18:30,85,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200512&gameId=20200512SSWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,키움
2.0,2020-05-12,1.0,5,2020,18:30,81,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200512&gameId=20200512HTHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,KIA
4.0,2020-05-13,3.0,5,2020,18:30,86,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200513&gameId=20200513HTHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,KIA
2.0,2020-05-13,14.0,5,2020,18:30,87,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200513&gameId=20200513SKLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
5.0,2020-05-13,0.0,5,2020,18:30,90,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200513&gameId=20200513SSWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,삼성
4.0,2020-05-13,5.0,5,2020,18:30,89,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200513&gameId=20200513KTNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
9.0,2020-05-13,10.0,5,2020,18:30,88,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200513&gameId=20200513OBLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,롯데
1.0,2020-05-14,4.0,5,2020,18:30,91,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200514&gameId=20200514HTHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,한화
2.0,2020-05-14,3.0,5,2020,18:30,92,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200514&gameId=20200514SKLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
8.0,2020-05-14,5.0,5,2020,18:30,95,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200514&gameId=20200514SSWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,삼성
0.0,2020-05-14,1.0,5,2020,18:30,94,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200514&gameId=20200514KTNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
7.0,2020-05-14,4.0,5,2020,18:30,93,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200514&gameId=20200514OBLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,두산
1.0,2020-05-15,2.0,5,2020,18:30,96,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200515&gameId=20200515LTHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,한화
,2020-05-15,,5,2020,18:30,97,키움,,,,LG,경기일정,우천취소,잠실,
13.0,2020-05-15,4.0,5,2020,18:30,100,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200515&gameId=20200515OBHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,두산
6.0,2020-05-15,14.0,5,2020,18:30,99,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200515&gameId=20200515SSKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KT
6.0,2020-05-15,2.0,5,2020,18:30,98,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200515&gameId=20200515NCSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,NC
5.0,2020-05-16,1.0,5,2020,14:00,101,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200516&gameId=20200516LTHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,롯데
1.0,2020-05-16,3.0,5,2020,14:00,102,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200516&gameId=20200516WOLG1&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
4.0,2020-05-16,13.0,5,2020,17:00,105,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200516&gameId=20200516OBHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,KIA
4.0,2020-05-16,10.0,5,2020,17:00,104,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200516&gameId=20200516SSKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KT
3.0,2020-05-16,5.0,5,2020,17:00,106,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200516&gameId=20200516WOLG2&section=HIGHLIGHT,,,LG,경기일정,-,잠실,LG
2.0,2020-05-16,1.0,5,2020,17:00,103,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200516&gameId=20200516NCSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,NC
6.0,2020-05-17,4.0,5,2020,14:00,111,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200517&gameId=20200517OBHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,두산
4.0,2020-05-17,5.0,5,2020,14:00,107,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200517&gameId=20200517LTHH0&section=HIGHLIGHT,,,한화,경기일정,-,한밭,한화
2.0,2020-05-17,9.0,5,2020,14:00,110,삼성,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200517&gameId=20200517SSKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KT
11.0,2020-05-17,5.0,5,2020,14:00,109,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200517&gameId=20200517NCSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,NC
9.0,2020-05-17,4.0,5,2020,14:00,108,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200517&gameId=20200517WOLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,키움
5.0,2020-05-19,4.0,5,2020,18:30,112,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200519&gameId=20200519NCOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,NC
10.0,2020-05-19,6.0,5,2020,18:30,113,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200519&gameId=20200519LGSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,LG
6.0,2020-05-19,11.0,5,2020,18:30,116,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200519&gameId=20200519SKWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,키움
2.0,2020-05-19,9.0,5,2020,18:30,115,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200519&gameId=20200519LTHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,KIA
11.0,2020-05-19,13.0,5,2020,18:30,114,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200519&gameId=20200519HHKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KT
1.0,2020-05-20,2.0,5,2020,18:30,117,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200520&gameId=20200520NCOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,두산
1.0,2020-05-20,3.0,5,2020,18:30,118,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200520&gameId=20200520LGSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,삼성
5.0,2020-05-20,3.0,5,2020,18:30,121,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200520&gameId=20200520SKWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,SK
0.0,2020-05-20,6.0,5,2020,18:30,120,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200520&gameId=20200520LTHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,KIA
1.0,2020-05-20,8.0,5,2020,18:30,119,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200520&gameId=20200520HHKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,KT
12.0,2020-05-21,6.0,5,2020,18:30,122,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200521&gameId=20200521NCOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,NC
