p_no	player_name	KBO_id	img_url	back_no	birth	position	height	weight	history	signing_fee	salary	draft	join_year	IDKEY	Year	Age	Pos.	G	hand	player_type	b_AB	b_AVG	p_BK	p_CG	b_CS	p_ER	p_ERA	p_FIP	b_GDP	p_GF	p_GR	p_GS	p_HD	p_IP	p_L	b_OBP	b_OPS	b_PA	b_R/ePA	p_RA9	b_RBI	p_ROE	p_S	b_SB	b_SF	b_SH	p_SHO	b_SLG	b_TB	p_TBF	p_W	p_WHIP	p_WP	b_2B	b_3B	b_BB	b_H	b_HP	b_HR	b_IB	b_R	b_SO	b_WAR	b_dWAR	b_ePA	b_oWAR	p_2B	p_3B	p_BB	p_H	p_HP	p_HR	p_IB	p_R	p_SO	p_WAR	p_rRA	p_rRA9	b_wRC+
16108	조동욱	54768	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54768.jpg	68.0	2004년 11월 02일	투수(좌투좌타)	190.0	82.0	소래초-영남중-장충고	15000만원	4000만원	24 한화 2라운드 11순위	24한화	HH	2025.0	21.0	P	64.0	left	pitcher			1.0	0.0		27.0	4.37	4.8		11.0	62.0	2.0	5.0	55.2	3.0					4.69		4.0	2.0				0.0			270.0	2.0	1.89	7.0														16.0	0.0	29.0	76.0	4.0	4.0	3.0	29.0	40.0	1.35	25.45	4.11	
11415	주현상	65707	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65707.jpg	66.0	1992년 08월 10일	투수(우투우타)	177.0	92.0	청주우암초-청주중-청주고-동아대	5000만원	25000만원	15 한화 2차 7라운드 64순위	15한화	HH	2025.0	33.0	P	44.0	right	pitcher			0.0	0.0		23.0	5.26	4.83		10.0	44.0	0.0	3.0	39.1	2.0					5.49		2.0	1.0				0.0			182.0	5.0	1.65	1.0														13.0	2.0	9.0	56.0	3.0	7.0	0.0	24.0	34.0	-0.04	26.75	6.12	
11215	채은성	79192	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79192.jpg	22.0	1990년 02월 06일	내야수(우투우타)	186.0	92.0	순천북초-순천이수중-효천고-LG		60000만원	09 LG 육성선수	14LG	HH	2025.0	35.0	1B	122.0	right	batter	444.0	0.291			2.0				4.0							0.349	0.833	487.0	0.149		85.0			1.0	0.0	3.0		0.484	215.0					27.0	1.0	28.0	129.0	12.0	19.0	4.0	52.0	87.0	1.37	-0.66	480.0	2.04													119.1
14707	최인호	50707	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg	41.0	2000년 01월 30일	외야수(우투좌타)	178.0	82.0	송정동초-광주동성중-포항제철고-한화-상무	6000만원	6800만원	20 한화 2차 6라운드 58순위	20한화	HH	2025.0	25.0	DH	72.0	left	batter	126.0	0.238			0.0				5.0							0.331	0.648	146.0	0.1		15.0			1.0	1.0	1.0		0.317	40.0					7.0	0.0	13.0	30.0	5.0	1.0	0.0	5.0	27.0	-0.3	-0.17	145.0	-0.14													79.2
10170	최재훈	78288	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78288.jpg	13.0	1989년 08월 27일	포수(우투우타)	178.0	94.0	화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산		50000만원	08 두산 육성선수	08두산	HH	2025.0	36.0	C	112.0	right	batter	247.0	0.279			1.0				4.0							0.412	0.756	323.0	0.153		31.0			1.0	6.0	10.0		0.344	85.0					13.0	0.0	43.0	69.0	17.0	1.0	0.0	27.0	42.0	2.86	-0.22	313.0	3.07													123.0
16313	폰세	55730	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55730.jpg	30.0	1994년 04월 25일	투수(우투우타)	198.0	115.0	미국 California State(대)	200000달러	800000달러	25 한화 자유선발	25한화	HH	2025.0	31.0	P	27.0	right	pitcher			3.0	0.0		32.0	1.7	1.77		0.0	0.0	27.0	0.0	169.2	0.0					1.86		3.0	0.0				0.0			649.0	17.0	0.9	6.0														17.0	0.0	36.0	117.0	6.0	8.0	0.0	35.0	236.0	9.16	32.6	1.73	
16312	플로리얼	55734	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55734.jpg		1997년 11월 25일	외야수(우투좌타)	185.0	88.0	도미니카-한화	50000달러	700000달러	25 한화 자유선발	25한화	HH	2025.0	28.0	CF	65.0	left	batter	258.0	0.271			3.0				2.0							0.333	0.783	285.0	0.133		29.0			13.0	2.0	0.0		0.45	116.0					18.0	2.0	24.0	70.0	1.0	8.0	2.0	36.0	65.0	1.74	0.1	285.0	1.64													107.5
10913	하주석	62700	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62700.jpg	16.0	1994년 02월 25일	내야수(우투좌타)	185.0	92.0	강남초-덕수중-신일고-한화-상무	30000만원	9000만원	12 한화 1라운드 1순위	12한화	HH	2025.0	31.0	SS	86.0	left	batter	247.0	0.316			1.0				9.0							0.358	0.779	276.0	0.135		28.0			1.0	1.0	11.0		0.421	104.0					14.0	0.0	12.0	78.0	5.0	4.0	0.0	32.0	56.0	2.24	0.53	265.0	1.71													108.1
10812	한승혁	61666	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61666.jpg	26.0	1993년 01월 03일	투수(우투좌타)	185.0	100.0	도신초-강남중-덕수고-(남부대)-KIA	18000만원	9400만원	11 KIA 1라운드 8순위	11KIA	HH	2025.0	32.0	P	66.0	right	pitcher			0.0	0.0		16.0	2.43	4.25		9.0	66.0	0.0	15.0	59.1	3.0					2.73		4.0	3.0				0.0			253.0	3.0	1.3	3.0														5.0	1.0	23.0	54.0	7.0	4.0	1.0	18.0	49.0	2.56	18.4	2.79	
16110	황영묵	54795	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54795.jpg	95.0	1999년 10월 16일	내야수(우투좌타)	177.0	80.0	수진초-성일중-충훈고	8000만원	8300만원	24 한화 4라운드 31순위	24한화	HH	2025.0	26.0	2B	107.0	left	batter	240.0	0.267			3.0				4.0							0.324	0.67	265.0	0.099		18.0			1.0	1.0	2.0		0.346	83.0					16.0	0.0	19.0	64.0	2.0	1.0	0.0	35.0	35.0	0.19	-0.45	262.0	0.64													79.7
16107	황준서	54729	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54729.jpg	29.0	2005년 08월 22일	투수(좌투좌타)	185.0	78.0	면일초(중랑구리틀)-상명중-장충고	35000만원	4500만원	24 한화 1라운드 1순위	24한화	HH	2025.0	20.0	P	18.0	left	pitcher			0.0	0.0		33.0	5.71	4.63		0.0	6.0	12.0	0.0	52.0	8.0					6.4		1.0	0.0				0.0			225.0	2.0	1.44	1.0														11.0	4.0	23.0	52.0	2.0	7.0	2.0	37.0	50.0	0.37	34.75	6.01	
14807	고명준	51868	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg	18.0	2002년 07월 08일	내야수(우투우타)	185.0	94.0	서원초-세광중-세광고-SK	9000만원	8000만원	21 SK 2차 2라운드 18순위	21SK	SK	2025.0	23.0	1B	116.0	right	batter	421.0	0.271			0.0				12.0							0.302	0.73	450.0	0.108		59.0			1.0	7.0	0.0		0.428	180.0					19.0	1.0	20.0	114.0	2.0	15.0	1.0	39.0	88.0	0.52	0.76	450.0	-0.23													88.4
14803	김건우	51867	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51867.jpg	39.0	2002년 07월 12일	투수(좌투좌타)	185.0	88.0	가현초(인천서구리틀)-동산중-제물포고-SK-SSG-상무	20000만원	3000만원	21 SK 1차	21SK	SK	2025.0	23.0	P	33.0	left	pitcher			0.0	0.0		26.0	4.2	4.71		5.0	22.0	11.0	2.0	55.2	4.0					4.53		4.0	0.0				0.0			262.0	3.0	1.67	4.0														12.0	0.0	45.0	48.0	7.0	1.0	1.0	28.0	52.0	1.16	27.3	4.41	
10126	김광현	77829	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77829.jpg	29.0	1988년 07월 22일	투수(좌투좌타)	188.0	88.0	덕성초(안산리틀)-안산중앙중-안산공고-SK-세인트루이스	50000만원	300000만원	07 SK 1차	07SK	SK	2025.0	37.0	P	25.0	left	pitcher			0.0	0.0		70.0	4.9	3.78		0.0	0.0	25.0	0.0	128.2	9.0					5.25		7.0	0.0				0.0			568.0	8.0	1.48	4.0														23.0	1.0	46.0	144.0	4.0	11.0	1.0	75.0	121.0	1.88	72.4	5.06	
13167	김민	68043	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68043.jpg	41.0	1999년 04월 14일	투수(우투우타)	185.0	88.0	인천숭의초-평촌중-유신고-KT-상무-KT	30000만원	11000만원	18 KT 1차	18KT	SK	2025.0	26.0	P	64.0	right	pitcher			0.0	0.0		20.0	3.07	3.84		3.0	64.0	0.0	20.0	58.2	2.0					3.38		4.0	0.0				0.0			249.0	5.0	1.28	4.0														7.0	0.0	16.0	59.0	6.0	6.0	2.0	22.0	58.0	1.96	20.6	3.16	
10636	김성현	76802	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76802.jpg	6.0	1987년 03월 09일	내야수(우투우타)	172.0	72.0	송정동초-충장중-광주제일고-SK-상무-SK	7000만원	15000만원	06 SK 2차 3라운드 20순위	06SK	SK	2025.0	38.0	3B	51.0	right	batter	108.0	0.231			1.0				2.0							0.323	0.61	128.0	0.089		10.0			1.0	1.0	4.0		0.287	31.0					3.0	0.0	14.0	25.0	1.0	1.0	0.0	15.0	20.0	0.12	-0.09	124.0	0.21													71.6
12622	김찬형	66917	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66917.jpg	5.0	1997년 12월 29일	내야수(우투우타)	182.0	83.0	양정초-경남중-경남고-NC-SSG-상무	5000만원	3200만원	16 NC 2차 6라운드 53순위	16NC	SK	2025.0	28.0	3B	44.0	right	batter	73.0	0.178			0.0				3.0							0.221	0.426	78.0	0.006		5.0			0.0	0.0	1.0		0.205	15.0					2.0	0.0	3.0	13.0	1.0	0.0	0.0	4.0	13.0	-0.41	0.18	77.0	-0.59													5.1
10203	노경은	73211	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73211.jpg	38.0	1984년 03월 11일	투수(우투우타)	187.0	100.0	화곡초-성남중-성남고-두산-롯데	35000만원	40000만원	03 두산 1차	03두산	SK	2025.0	41.0	P	71.0	right	pitcher			0.0	0.0		18.0	2.24	3.1		6.0	71.0	0.0	30.0	72.1	6.0					2.61		3.0	3.0				0.0			294.0	3.0	1.12	2.0														9.0	0.0	24.0	57.0	3.0	2.0	5.0	21.0	62.0	2.95	24.05	2.99	
16390	맥브룸	55844	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55844.jpg		1992년 04월 09일	외야수(좌투우타)	190.0	99.0	미국 West Virginia(대)-SSG		75000달러	25 SSG 부상 대체 외국인선수	25SSG	SK	2025.0	33.0	RF	22.0	right	batter	74.0	0.203			0.0				2.0							0.263	0.668	80.0	0.079		11.0			0.0	0.0	0.0		0.405	30.0					3.0	0.0	5.0	15.0	1.0	4.0	2.0	8.0	28.0	-0.17	0.09	78.0	-0.26													63.2
10783	문승원	62869	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62869.jpg	42.0	1989년 11월 28일	투수(우투우타)	180.0	88.0	가동초-배명중-배명고-고려대-SK-상무-SK	18000만원	80000만원	12 SK 1라운드 8순위	12SK	SK	2025.0	36.0	P	20.0	right	pitcher			0.0	0.0		53.0	4.97	5.74		0.0	1.0	19.0	0.0	96.0	5.0					5.06		3.0	0.0				0.0			412.0	4.0	1.4	4.0														19.0	3.0	36.0	98.0	5.0	15.0	0.0	54.0	53.0	1.65	51.95	4.87	
12922	박성한	67893	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67893.jpg	2.0	1998년 03월 30일	내야수(우투좌타)	180.0	77.0	순천북초-여수중-효천고-SK-상무-SK	9000만원	37000만원	17 SK 2차 2라운드 16순위	17SK	SK	2025.0	27.0	SS	114.0	left	batter	405.0	0.277			6.0				5.0							0.39	0.768	486.0	0.151		43.0			4.0	2.0	2.0		0.378	153.0					21.0	1.0	74.0	112.0	3.0	6.0	1.0	65.0	86.0	4.87	0.66	484.0	4.21													123.5
14687	박시후	50812	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50812.jpg	57.0	2001년 05월 10일	투수(좌투좌타)	182.0	88.0	상인천초-상인천중-인천고-SK	2000만원	3100만원	20 SK 2차 10라운드 100순위	22SSG	SK	2025.0	24.0	P	48.0	left	pitcher			1.0	0.0		19.0	3.47	5.57		6.0	47.0	1.0	3.0	49.1	2.0					4.38		5.0	0.0				0.0			220.0	6.0	1.46	0.0														3.0	0.0	29.0	43.0	5.0	5.0	1.0	24.0	33.0	0.32	28.95	5.28	
15462	송영진	53898	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53898.jpg	28.0	2004년 05월 28일	투수(우투양타)	185.0	90.0	대전유천초-한밭중-대전고	15000만원	5500만원	23 SSG 2라운드 15순위	23SSG	SK	2025.0	21.0	P	17.0	right	pitcher			0.0	0.0		34.0	5.53	5.51		2.0	10.0	7.0	0.0	55.1	4.0					5.86		1.0	0.0				0.0			248.0	2.0	1.64	2.0														5.0	0.0	28.0	63.0	3.0	7.0	1.0	36.0	36.0	0.61	33.25	5.41	
12613	안상현	66864	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66864.jpg	10.0	1997년 01월 27일	내야수(우투우타)	178.0	74.0	사파초-선린중-용마고-SK-상무	8000만원	3200만원	16 SK 2차 3라운드 26순위	16SK	SK	2025.0	28.0	3B	89.0	right	batter	223.0	0.269			5.0				2.0							0.321	0.684	250.0	0.103		12.0			14.0	2.0	7.0		0.363	81.0					7.0	1.0	16.0	60.0	2.0	4.0	0.0	32.0	74.0	0.2	-0.34	243.0	0.55													83.4
16146	앤더슨	54833	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54833.jpg	33.0	1994년 03월 22일	투수(우투우타)	194.0	83.0	미국 Galena(고)		1150000달러	24 SSG 자유선발	24SSG	SK	2025.0	31.0	P	27.0	right	pitcher			0.0	0.0		37.0	2.14	2.17		0.0	0.0	27.0	0.0	155.1	6.0					2.67		5.0	0.0				0.0			628.0	10.0	1.01	8.0														17.0	1.0	45.0	112.0	6.0	11.0	1.0	46.0	225.0	6.71	44.45	2.58	
15530	에레디아	53827	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53827.jpg	27.0	1991년 01월 31일	외야수(좌투우타)	178.0	88.0	쿠바 Eide Luis Agusto Tursios Lima		1600000달러	23 SSG 자유선발	23SSG	SK	2025.0	34.0	LF	84.0	right	batter	329.0	0.34			2.0				7.0							0.403	0.892	365.0	0.175		44.0			1.0	1.0	0.0		0.489	161.0					16.0	0.0	29.0	112.0	6.0	11.0	4.0	39.0	53.0	3.17	0.59	362.0	2.58													143.7
10249	오태곤	60558	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60558.jpg	37.0	1991년 11월 18일	외야수(우투우타)	186.0	88.0	쌍문초-신월중-청원고-롯데-경찰-롯데-KT-SK	9000만원	15000만원	10 롯데 3라운드 22순위	10롯데	SK	2025.0	34.0	1B	113.0	right	batter	189.0	0.201			6.0				4.0							0.309	0.621	223.0	0.093		26.0			23.0	1.0	3.0		0.312	59.0					6.0	0.0	29.0	38.0	1.0	5.0	0.0	27.0	56.0	-0.38	-0.17	220.0	-0.21													76.0
15461	이로운	53892	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53892.jpg	92.0	2004년 09월 11일	투수(우투우타)	185.0	105.0	본리초-경복중-대구고	25000만원	7400만원	23 SSG 1라운드 5순위	23SSG	SK	2025.0	21.0	P	69.0	right	pitcher			0.0	0.0		16.0	2.06	3.82		5.0	69.0	0.0	27.0	70.0	5.0					2.31		1.0	1.0				0.0			279.0	6.0	1.07	2.0														4.0	1.0	24.0	51.0	0.0	7.0	5.0	18.0	61.0	2.69	22.85	2.94	
10312	이지영	79456	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79456.jpg	59.0	1986년 02월 27일	포수(우투우타)	177.0	88.0	서화초-인천신흥중-제물포고-경성대-삼성-상무-삼성-키움		15000만원	08 삼성 육성선수	09삼성	SK	2025.0	39.0	C	71.0	right	batter	189.0	0.228			1.0				8.0							0.275	0.592	207.0	0.066		18.0			2.0	2.0	3.0		0.317	60.0					6.0	1.0	11.0	43.0	2.0	3.0	0.0	13.0	19.0	-0.15	-0.06	204.0	-0.08													54.0
15032	전영준	52809	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52809.jpg	65.0	2002년 04월 16일	투수(우투우타)	190.0	100.0	부곡초-휘문중-대구고-SSG-상무	3000만원	3200만원	22 SSG 2차 9라운드 82순위	22SSG	SK	2025.0	23.0	P	30.0	right	pitcher			0.0	0.0		26.0	4.84	4.34		6.0	25.0	5.0	0.0	48.1	5.0					4.84		2.0	0.0				0.0			211.0	1.0	1.41	2.0														8.0	0.0	24.0	44.0	5.0	5.0	1.0	26.0	51.0	0.84	24.15	4.5	
16042	정준재	54812	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54812.jpg	3.0	2003년 01월 03일	내야수(우투좌타)	165.0	68.0	상인천초-동인천중-강릉고-동국대(얼리 드래프트)	6000만원	7500만원	24 SSG 5라운드 50순위	24SSG	SK	2025.0	22.0	2B	119.0	left	batter	338.0	0.237			8.0				4.0							0.324	0.602	398.0	0.088		22.0			33.0	1.0	15.0		0.278	94.0					8.0	3.0	42.0	80.0	2.0	0.0	0.0	50.0	86.0	1.12	0.25	383.0	0.87													71.7
14805	조병현	51897	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51897.jpg	19.0	2002년 05월 08일	투수(우투우타)	182.0	90.0	온양온천초-온양중-세광고-SK-SSG-상무	7000만원	13500만원	21 SK 2차 3라운드 28순위	21SK	SK	2025.0	23.0	P	63.0	right	pitcher			0.0	0.0		10.0	1.45	2.43		50.0	63.0	0.0	0.0	62.0	4.0					1.6		0.0	28.0				0.0			231.0	5.0	0.82	0.0														7.0	0.0	12.0	39.0	0.0	5.0	2.0	11.0	73.0	3.57	13.25	1.92	
14806	조형우	51865	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg	20.0	2002년 04월 04일	포수(우투우타)	187.0	95.0	송정동초-무등중-광주제일고-SK	13000만원	4000만원	21 SK 2차 1라운드 8순위	21SK	SK	2025.0	23.0	C	90.0	right	batter	240.0	0.254			0.0				5.0							0.307	0.645	262.0	0.088		24.0			0.0	2.0	1.0		0.338	81.0					8.0	0.0	16.0	61.0	3.0	4.0	0.0	22.0	53.0	0.91	0.24	261.0	0.67													72.0
13126	최민준	68856	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68856.jpg	30.0	1999년 06월 11일	투수(우투우타)	178.0	83.0	부산수영초-경남중-경남고-SK-상무-SK	10000만원	10000만원	18 SK 2차 2라운드 15순위	18SK	SK	2025.0	26.0	P	37.0	right	pitcher			0.0	0.0		26.0	3.82	4.46		9.0	30.0	7.0	1.0	61.1	2.0					4.11		2.0	0.0				0.0			265.0	2.0	1.42	3.0														5.0	0.0	22.0	65.0	3.0	5.0	0.0	28.0	42.0	1.32	28.0	4.11	
10106	최정	75847	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75847.jpg	14.0	1987년 02월 28일	내야수(우투우타)	180.0	90.0	대일초-평촌중-유신고-SK	30000만원	170000만원	05 SK 1차	05SK	SK	2025.0	38.0	DH	87.0	right	batter	311.0	0.238			0.0				9.0							0.358	0.827	372.0	0.153		58.0			1.0	2.0	0.0		0.469	146.0					12.0	0.0	48.0	74.0	11.0	20.0	6.0	51.0	86.0	0.95	-0.6	368.0	1.55													123.8
13128	최준우	68868	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68868.jpg	7.0	1999년 03월 25일	내야수(우투좌타)	176.0	78.0	방배초-대치중-장충고-SK-상무	7000만원	3200만원	18 SK 2차 4라운드 35순위	18SK	SK	2025.0	26.0	LF	76.0	left	batter	148.0	0.189			0.0				3.0							0.33	0.58	188.0	0.092		22.0			2.0	4.0	3.0		0.25	37.0					0.0	0.0	30.0	28.0	3.0	3.0	0.0	17.0	46.0	-0.4	-0.29	185.0	-0.11													75.5
14587	최지훈	50854	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg	54.0	1997년 07월 23일	외야수(우투좌타)	178.0	82.0	광주수창초-무등중-광주제일고-동국대-SK	8000만원	30000만원	20 SK 2차 3라운드 30순위	20SK	SK	2025.0	28.0	CF	128.0	left	batter	476.0	0.273			6.0				1.0							0.333	0.688	530.0	0.106		38.0			28.0	5.0	4.0		0.355	169.0					13.0	4.0	41.0	130.0	4.0	6.0	2.0	61.0	80.0	1.84	0.15	524.0	1.69													86.7
13228	한두솔	68092	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68092.jpg	34.0	1997년 01월 15일	투수(좌투좌타)	177.0	86.0	광주수창초-진흥중-광주제일고-일본 오사카 리세이샤 전문대학-KT		8000만원	18 KT 육성선수	18KT	SK	2025.0	28.0	P	40.0	left	pitcher			0.0	0.0		15.0	4.01	3.75		6.0	40.0	0.0	3.0	33.2	0.0					4.54		1.0	1.0				0.0			153.0	2.0	1.72	1.0														5.0	0.0	18.0	40.0	1.0	0.0	1.0	17.0	25.0	0.61	16.35	4.37	
10815	한유섬	62895	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62895.jpg	35.0	1989년 08월 09일	외야수(우투좌타)	190.0	105.0	중앙초(해운대리틀)-대천중-경남고-경성대-SK-상무-SK	3000만원	90000만원	12 SK 9라운드 85순위	12SK	SK	2025.0	36.0	RF	116.0	left	batter	416.0	0.279			0.0				6.0							0.355	0.788	469.0	0.14		66.0			1.0	2.0	1.0		0.433	180.0					22.0	0.0	45.0	116.0	5.0	14.0	3.0	47.0	105.0	1.95	-0.05	465.0	2.0													114.1
16324	화이트	55855	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55855.jpg	55.0	1994년 12월 28일	투수(우투우타)	190.0	95.0	미국 Santa Clara(대)		1000000달러	25 SSG 자유선발	25SSG	SK	2025.0	31.0	P	22.0	right	pitcher			0.0	1.0		41.0	3.01	3.47		1.0	0.0	22.0	0.0	122.2	4.0					3.6		11.0	0.0				0.0			513.0	9.0	1.17	5.0														11.0	2.0	42.0	101.0	6.0	9.0	1.0	49.0	124.0	4.1	47.45	3.48	
16397	가라비토	55460	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55460.jpg	60.0	1995년 08월 19일	투수(우투우타)	183.0	100.0	도미니카 Liceo Enedina Puella Renville (고)	200000달러	356666달러	25 삼성 자유선발	25삼성	SS	2025.0	30.0	P	12.0	right	pitcher			0.0	0.0		18.0	2.44	3.73		0.0	0.0	12.0	0.0	66.1	4.0					3.39		3.0	0.0				0.0			271.0	4.0	1.09	1.0														3.0	0.0	27.0	45.0	5.0	6.0	0.0	25.0	74.0	2.51	23.45	3.18	
10232	강민호	74540	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74540.jpg	47.0	1985년 08월 18일	포수(우투우타)	185.0	100.0	제주신광초-포철중-포철공고-(국제디지털대)-롯데	9000만원	40000만원	04 롯데 2차 3라운드 17순위	04롯데	SS	2025.0	40.0	C	116.0	right	batter	380.0	0.266			2.0				15.0							0.332	0.748	428.0	0.12		67.0			2.0	7.0	0.0		0.416	158.0					21.0	0.0	34.0	101.0	7.0	12.0	4.0	34.0	59.0	2.17	0.26	425.0	1.91													93.8
10892	구자욱	62404	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62404.jpg	5.0	1993년 02월 12일	외야수(우투좌타)	189.0	75.0	본리초-경복중-대구고-삼성-상무	13000만원	200000만원	12 삼성 2라운드 12순위	12삼성	SS	2025.0	32.0	LF	132.0	left	batter	494.0	0.318			1.0				9.0							0.397	0.913	573.0	0.181		86.0			4.0	8.0	1.0		0.516	255.0					40.0	2.0	65.0	157.0	5.0	18.0	7.0	96.0	86.0	3.85	-0.61	568.0	4.46													140.9
12936	김성윤	67449	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67449.jpg	39.0	1999년 02월 02일	외야수(좌투좌타)	163.0	62.0	창신초(부산진구리틀)-원동중-포항제철고	7000만원	7000만원	17 삼성 2차 4라운드 39순위	17삼성	SS	2025.0	26.0	RF	116.0	left	batter	413.0	0.322			7.0				10.0							0.409	0.874	487.0	0.181		53.0			24.0	2.0	10.0		0.465	192.0					26.0	9.0	58.0	133.0	4.0	5.0	0.0	77.0	52.0	4.39	0.28	477.0	4.1													139.6
14797	나승엽	51551	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg	51.0	2002년 02월 15일	내야수(우투좌타)	190.0	82.0	남정초-선린중-덕수고-롯데-상무	50000만원	12000만원	21 롯데 2차 2라운드 11순위	21롯데	LT	2025.0	23.0	1B	97.0	left	batter	306.0	0.232			0.0				10.0							0.355	0.728	369.0	0.134		43.0			0.0	1.0	3.0		0.373	114.0					12.0	2.0	54.0	71.0	5.0	9.0	1.0	39.0	60.0	0.25	-0.75	365.0	1.0													106.7
16273	데이비슨	55536	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55536.jpg		1996년 03월 25일	투수(좌투좌타)	188.0	97.0	미국 Midland(대)-롯데	350000달러	500000달러	25 롯데 자유선발	25롯데	LT	2025.0	29.0	P	22.0	left	pitcher			1.0	0.0		50.0	3.65	3.83		0.0	0.0	22.0	0.0	123.1	5.0					3.87		2.0	0.0				0.0			529.0	10.0	1.39	4.0														20.0	2.0	48.0	123.0	5.0	10.0	0.0	53.0	119.0	3.91	51.8	3.78	
16106	레이예스	54529	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54529.jpg	29.0	1994년 10월 05일	외야수(우투양타)	196.0	87.0	베네수엘라 Dr Felipe Guevara(고)	100000달러	800000달러	24 롯데 자유선발	24롯데	LT	2025.0	31.0	LF	134.0	right	batter	531.0	0.33			1.0				24.0							0.39	0.865	597.0	0.157		99.0			7.0	8.0	0.0		0.475	252.0					39.0	1.0	55.0	175.0	3.0	12.0	17.0	67.0	63.0	3.23	-0.2	581.0	3.44													124.9
11310	박세웅	64021	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64021.jpg	21.0	1995년 11월 30일	투수(우투우타)	182.0	85.0	대구경운초-경운중-경북고-KT	20000만원	135000만원	14 KT 1차	14KT	LT	2025.0	30.0	P	26.0	right	pitcher			1.0	0.0		82.0	4.95	3.9		0.0	0.0	26.0	0.0	149.0	12.0					5.62		9.0	0.0				0.0			670.0	11.0	1.47	14.0														40.0	1.0	51.0	168.0	8.0	15.0	0.0	93.0	147.0	2.17	88.2	5.33	
